100 25
9 10 93
10 51 2
93 60 20
51 79 74
2 49 5
60 67 78
20 68 80
79 59 34
74 21 61
49 0 56
5 91 35
67 14 97
78 44 3
68 4 46
80 43 32
59 26 50
34 19 88
21 86 18
61 87 48
0 33 89
56 90 6
91 7 47
35 69 57
14 83 40
97 41 73
44 29 85
3 98 25
4 22 17
46 75 72
43 55 45
32 36 99
26 31 66
50 16 95
19 27 15
88 82 54
86 71 12
18 53 94
87 58 65
48 30 1
33 92 70
89 96 24
90 64 13
6 23 39
7 52 62
47 28 63
69 77 8
57 42 76
83 37 38
40 81 11
41 84 -1 
73 -1 -1 
29 -1 -1 
85 -1 -1 
98 -1 -1 
25 -1 -1 
22 -1 -1 
17 -1 -1 
75 -1 -1 
72 -1 -1 
55 -1 -1 
45 -1 -1 
36 -1 -1 
99 -1 -1 
31 -1 -1 
66 -1 -1 
16 -1 -1 
95 -1 -1 
27 -1 -1 
15 -1 -1 
82 -1 -1 
54 -1 -1 
71 -1 -1 
12 -1 -1 
53 -1 -1 
94 -1 -1 
58 -1 -1 
65 -1 -1 
30 -1 -1 
1 -1 -1 
92 -1 -1 
70 -1 -1 
96 -1 -1 
24 -1 -1 
64 -1 -1 
13 -1 -1 
23 -1 -1 
39 -1 -1 
52 -1 -1 
62 -1 -1 
28 -1 -1 
63 -1 -1 
77 -1 -1 
8 -1 -1 
42 -1 -1 
76 -1 -1 
37 -1 -1 
38 -1 -1 
81 -1 -1 
11 -1 -1 
84 -1 -1 

